,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
61,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,31,3014,街镇,,109,85,170,4,11,91,149,109,168,109,82,,5,14,15046,370102,历下区,东关街道办事处,东关街道办事处,/Date(1603706400000+0800)/
62,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1687,街镇,,107,89,178,3,8,85,142,107,164,105,79,,5,14,15047,370102,历下区,甸柳街道办事处,甸柳街道办事处,/Date(1603706400000+0800)/
63,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1477,街镇,,119,91,182,2,5,90,147,109,168,119,90,,5,14,15048,370102,历下区,燕山街道办事处,燕山街道办事处,/Date(1603706400000+0800)/
64,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,20,1904,街镇,,109,82,164,5,14,86,143,109,167,105,79,,5,15,15049,370103,市中区,舜玉路街道办事处,舜玉路街道办事处,/Date(1603706400000+0800)/
65,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,18,1777,街镇,,108,90,180,3,8,93,151,103,155,108,81,,5,15,15050,370103,市中区,六里山街道办事处,六里山街道办事处,/Date(1603706400000+0800)/
66,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1402,街镇,,84,29,58,38,120,113,174,74,98,84,62,,5,15,15055,370130,南部山区,西营街道办事处,西营街道办事处,/Date(1603706400000+0800)/
67,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,14,1315,街镇,,79,21,42,37,118,120,181,79,107,70,51,,3,9,15056,370130,南部山区,柳埠街道办事处,柳埠街道办事处,/Date(1603706400000+0800)/
68,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,930,街镇,,130,20,40,35,110,106,166,119,187,130,99,,3,7,15057,370130,南部山区,仲宫街道办事处,仲宫街道办事处,/Date(1603706400000+0800)/
69,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,893,街镇,,104,24,47,55,164,123,185,104,158,100,75,,6,16,15058,370103,市中区,七里山街道办事处,七里山街道办事处,/Date(1603706400000+0800)/
70,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,24,2373,街镇,,146,90,180,4,12,85,142,146,241,145,111,,5,15,15059,370103,市中区,二七新村街道办事处,二七新村街道办事处,/Date(1603706400000+0800)/
71,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1066,街镇,,101,56,111,21,66,85,142,101,151,98,73,,4,11,15060,370103,市中区,四里村街道办事处,四里村街道办事处,/Date(1603706400000+0800)/
72,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,20,1961,街镇,,120,101,206,2,5,95,153,111,172,120,91,,6,16,15061,370103,市中区,杆石桥街道办事处,杆石桥街道办事处,/Date(1603706400000+0800)/
73,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,20,1907,街镇,,114,88,175,7,21,95,153,99,148,114,86,,5,14,15062,370103,市中区,大观园街道办事处,大观园街道办事处,/Date(1603706400000+0800)/
74,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1442,街镇,,108,86,172,8,25,87,144,108,165,105,79,,4,11,15063,370103,市中区,魏家庄街道办事处,魏家庄街道办事处,/Date(1603706400000+0800)/
75,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,19,1837,街镇,,103,93,186,3,8,91,149,103,155,103,77,,6,17,15064,370103,市中区,泺源街道办事处,泺源街道办事处,/Date(1603706400000+0800)/
76,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,18,1779,街镇,,124,49,97,13,41,77,132,107,164,124,94,,4,12,15065,370103,市中区,王官庄街道办事处,王官庄街道办事处,/Date(1603706400000+0800)/
