,Area_code,Area_name,Enterprise_name,Latitude,Longitude,Pname,Stcode,Stname,Substation_id
142,370126,商河县,油区管委会,37.270278,117.143611,油区管委会,370126,商河县,12577
143,370126,商河县,玉皇庙镇,37.19271,117.116291,玉皇庙镇,370126,商河县,15153
144,370126,商河县,龙桑寺镇,37.40138,117.297797,龙桑寺镇,370126,商河县,15154
145,370126,商河县,殷巷镇,37.407614,117.156185,殷巷镇,370126,商河县,15155
146,370126,商河县,怀仁镇,37.408981,117.055174,怀仁镇,370126,商河县,15156
147,370126,商河县,贾庄镇,37.271053,117.089681,贾庄镇,370126,商河县,15157
148,370126,商河县,郑路镇,37.281587,117.348564,郑路镇,370126,商河县,15160
149,370126,商河县,白桥镇,37.191767,117.278086,白桥镇,370126,商河县,15161
150,370126,商河县,孙集镇,37.305172,117.276091,孙集镇,370126,商河县,15162
151,370126,商河县,韩庙镇,37.49124,117.255092,韩庙镇,370126,商河县,15163
152,370126,商河县,沙河镇,37.431586,117.283371,沙河镇,370126,商河县,15164
153,370126,商河县,张坊镇,37.359965,117.109985,张坊镇,370126,商河县,15165
154,370130,南部山区,西营街道办事处,36.511392,117.235447,西营街道办事处,370130,南部山区,15055
155,370130,南部山区,柳埠街道办事处,36.446958,117.118965,柳埠街道办事处,370130,南部山区,15056
156,370130,南部山区,仲宫街道办事处,36.504967,117.033076,仲宫街道办事处,370130,南部山区,15057
157,370181,章丘区,东山小学,36.692708,117.544766,东山小学,370181,章丘区,9929
158,370181,章丘区,章丘开发区,36.682059,117.51984,章丘开发区,370181,章丘区,9930
159,370181,章丘区,明水街道办事处,36.710436,117.565913,明水街道办事处,370181,章丘区,15117
160,370181,章丘区,枣园街道办事处,36.738224,117.476945,枣园街道办事处,370181,章丘区,15118
161,370181,章丘区,龙山街道办事处,36.749395,117.392708,龙山街道办事处,370181,章丘区,15119
162,370181,章丘区,埠村街道办事处,36.625246,117.461284,埠村街道办事处,370181,章丘区,15120
163,370181,章丘区,圣井街道办事处,36.671298,117.410911,圣井街道办事处,370181,章丘区,15121
164,370181,章丘区,普集街道办事处,36.712352,117.654176,普集街道办事处,370181,章丘区,15122
165,370181,章丘区,相公庄街道办事处,36.768536,117.567724,相公庄街道办事处,370181,章丘区,15129
166,370181,章丘区,官庄街道办事处,36.678905,117.617725,官庄街道办事处,370181,章丘区,15130
167,370181,章丘区,绣惠街道办事处,36.826322,117.499897,绣惠街道办事处,370181,章丘区,15131
168,370181,章丘区,文祖街道办事处,36.613769,117.537686,文祖街道办事处,370181,章丘区,15132
169,370181,章丘区,曹范街道办事处,36.623677,117.411791,曹范街道办事处,370181,章丘区,15133
170,370181,章丘区,垛庄镇,36.506882,117.448,垛庄镇,370181,章丘区,15134
171,370181,章丘区,宁家埠街道办事处,36.825431,117.44338,宁家埠街道办事处,370181,章丘区,15135
172,370181,章丘区,刁镇街道办事处,36.8761831,117.52524683,刁镇街道办事处,370181,章丘区,15136
173,370181,章丘区,高官寨街道办事处,36.922776,117.331996,高官寨街道办事处,370181,章丘区,15137
174,370181,章丘区,黄河街道办事处,36.987749,117.306035,黄河街道办事处,370181,章丘区,15138
175,370181,章丘区,白云湖街道办事处,36.835429,117.3996,白云湖街道办事处,370181,章丘区,15139
